run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR5311238	PRJEB30134	SAMEA6450876	ERX5100641	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311238/ERR5311238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311238/ERR5311238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311238/33226_5#134.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311238/33226_5#134.cram.crai	
ERR5311239	PRJEB30134	SAMEA6451000	ERX5100642	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311239/ERR5311239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311239/ERR5311239_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311239/33226_5#135.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311239/33226_5#135.cram.crai	
ERR5311241	PRJEB30134	SAMEA6451003	ERX5100644	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311241/ERR5311241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311241/ERR5311241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311241/33226_5#137.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311241/33226_5#137.cram.crai	
ERR5311246	PRJEB30134	SAMEA6450880	ERX5100649	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311246/ERR5311246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311246/ERR5311246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311246/33226_5#142.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311246/33226_5#142.cram.crai	
ERR5311247	PRJEB30134	SAMEA6450882	ERX5100650	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311247/ERR5311247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311247/ERR5311247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311247/33226_5#143.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311247/33226_5#143.cram.crai	
ERR5311249	PRJEB30134	SAMEA6450881	ERX5100652	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311249/ERR5311249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311249/ERR5311249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311249/33226_5#145.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311249/33226_5#145.cram.crai	
ERR5311250	PRJEB30134	SAMEA6451006	ERX5100653	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311250/ERR5311250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311250/ERR5311250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311250/33226_5#146.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311250/33226_5#146.cram.crai	
ERR5311252	PRJEB30134	SAMEA6451005	ERX5100655	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311252/ERR5311252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311252/ERR5311252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311252/33226_5#148.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311252/33226_5#148.cram.crai	
ERR5311253	PRJEB30134	SAMEA6450885	ERX5100656	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311253/ERR5311253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311253/ERR5311253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311253/33226_5#149.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311253/33226_5#149.cram.crai	
ERR5311256	PRJEB30134	SAMEA6451009	ERX5100659	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311256/ERR5311256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311256/ERR5311256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311256/33226_5#152.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311256/33226_5#152.cram.crai	
ERR5311257	PRJEB30134	SAMEA6450890	ERX5100660	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311257/ERR5311257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311257/ERR5311257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311257/33226_5#153.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311257/33226_5#153.cram.crai	
ERR5311258	PRJEB30134	SAMEA6451007	ERX5100661	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311258/ERR5311258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311258/ERR5311258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311258/33226_5#154.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311258/33226_5#154.cram.crai	
ERR5311260	PRJEB30134	SAMEA6451011	ERX5100663	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311260/ERR5311260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311260/ERR5311260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311260/33226_5#156.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311260/33226_5#156.cram.crai	
ERR5311262	PRJEB30134	SAMEA6451014	ERX5100665	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311262/ERR5311262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311262/ERR5311262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311262/33226_5#158.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311262/33226_5#158.cram.crai	
ERR5311265	PRJEB30134	SAMEA6450893	ERX5100668	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/005/ERR5311265/ERR5311265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/005/ERR5311265/ERR5311265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311265/33226_5#161.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311265/33226_5#161.cram.crai	
ERR5311268	PRJEB30134	SAMEA6451016	ERX5100671	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311268/ERR5311268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311268/ERR5311268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311268/33226_5#164.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311268/33226_5#164.cram.crai	
